q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009333571.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 2	PF00910.21	RNA_helicase, RNA helicase	0	3	451	750	524	650	1-100(100)	96.2	0.00062	1	2536	524	650	1-100(100)	89.5	0.053	424	750	524	650	1-100(100)	96.1	0.00078	100	11.6	2536	89.5	3.1e-06	41.0	0.8	1-2536	1-100	300	96.2	3.7e-08	40.5	0.8	451-750	1-100	5	96.3570688111265
YP_009333588.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 114	PF00910.21	RNA_helicase, RNA helicase	0	3	301	600	459	582	1-100(100)	96.6	0.0015	1	1985	459	582	1-100(100)	91.3	0.11	359	682	459	582	1-100(100)	96.5	0.002	100	11.6	1985	91.3	6.8e-06	38.0	4.1	1-1985	1-100	300	96.6	8.7e-08	38.8	4.1	301-600	1-100	3	96.42781653454273
YP_009336535.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 4	PF00910.21	RNA_helicase, RNA helicase	0	2	570	1474	647	699	3-54(100)	95.3	0.005	1	2948	647	699	3-54(100)	91.8	0.044	547	799	647	699	3-54(100)	97	2e-04	100	11.6	2948	91.8	2.7e-06	42.1	2.3	1-2948	3-54	905	95.3	3e-07	41.8	2.3	570-1474	3-54	2	95.36226333833484
YP_009336542.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tick virus 2	PF00910.21	RNA_helicase, RNA helicase	0	2	1331	2321	1720	1808	1-80(100)	95.9	0.005	1	3105	1722	1808	3-80(100)	93.2	0.052	1620	1908	1720	1808	1-80(100)	97.3	0.00022	100	11.6	3105	93.2	3.1e-06	41.9	4.4	1-3105	3-80	991	95.9	3e-07	42.2	4.4	1331-2321	1-80	2	95.82592552144969
YP_009336571.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei diptera virus 1	PF00910.21	RNA_helicase, RNA helicase	0	2	1	1019	529	640	1-99(100)	96.1	0.0048	1	1820	529	640	1-99(100)	95	0.017	429	740	529	640	1-99(100)	97.3	0.00026	100	11.6	1820	95.0	1e-06	42.3	4.9	1-1820	1-99	1019	96.1	2.9e-07	42.5	4.9	1-1019	1-99	2	96.02990561158971
YP_009336661.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 52	PF00910.21	RNA_helicase, RNA helicase	0	2	1	843	372	481	1-99(100)	95.4	0.0024	1	1889	372	481	1-99(100)	93.1	0.014	272	581	372	481	1-99(100)	96.7	0.00021	100	11.6	1889	93.1	8.5e-07	42.9	1.0	1-1889	1-99	843	95.4	1.4e-07	43.1	1.0	1-843	1-99	2	95.31362163017303
YP_009336733.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou shrimp virus 8	PF00910.21	RNA_helicase, RNA helicase	0	2	1	1445	900	977	1-99(100)	95.1	0.0043	1	3293	900	977	1-99(100)	92.6	0.023	800	1077	900	951	1-54(100)	96.5	0.00045	100	11.6	3293	92.6	1.4e-06	44.3	1.6	1-3293	1-99	1445	95.1	2.6e-07	44.5	1.6	1-1445	1-99	2	94.99782230389575
YP_009336775.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe picorna-like virus 6	PF00910.21	RNA_helicase, RNA helicase	0	2	427	845	556	667	1-99(100)	96.9	0.00095	1	1898	556	667	1-99(100)	94.8	0.025	456	767	556	667	1-99(100)	97.1	0.00062	100	11.6	1898	94.8	1.5e-06	41.6	5.3	1-1898	1-99	419	96.9	5.7e-08	41.5	5.3	427-845	1-99	2	96.96449901111781
YP_009336801.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou channeled applesnail virus 3	PF00910.21	RNA_helicase, RNA helicase	0	2	1	802	422	532	1-96(100)	96.6	0.0018	1	2513	422	532	1-96(100)	94.7	0.023	322	632	422	532	1-96(100)	97.3	0.00023	100	11.6	2513	94.7	1.4e-06	43.1	4.9	1-2513	1-96	802	96.6	1.1e-07	43.5	4.9	1-802	1-96	2	96.50774685989433
YP_009336855.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 11	PF00910.21	RNA_helicase, RNA helicase	0	2	1	904	614	740	1-99(100)	96.3	0.0092	1	1959	614	740	1-99(100)	95	0.043	514	840	614	740	1-99(100)	97.3	0.00073	100	11.6	1959	95.0	2.6e-06	40.4	7.2	1-1959	1-99	904	96.3	5.5e-07	40.4	7.2	1-904	1-99	2	96.28391462215892
YP_009337118.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 52	PF00910.21	RNA_helicase, RNA helicase	0	3	751	1174	879	934	3-54(100)	95.6	0.0026	1	3778	879	934	3-54(100)	84.1	0.21	779	1034	879	934	3-54(100)	96.3	0.00087	100	11.6	3778	84.1	1.2e-05	39.2	1.5	1-3778	3-54	424	95.6	1.5e-07	39.4	1.5	751-1174	3-54	4	95.45612668399393
YP_009337160.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 62	PF00910.21	RNA_helicase, RNA helicase	0	2	426	1041	522	596	5-100(100)	97	0.00013	1	2904	522	596	5-100(100)	95	0.0043	422	696	522	596	5-100(100)	97.5	1.9e-05	100	11.6	2904	95.0	2.6e-07	48.0	1.5	1-2904	5-100	616	97.0	7.6e-09	47.9	1.5	426-1041	5-100	2	97.00854770789637
YP_009337178.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei coleoptera virus 2	PF00910.21	RNA_helicase, RNA helicase	0	2	299	1476	687	791	1-99(100)	95.6	0.0026	1	3547	687	791	1-99(100)	93.2	0.018	587	891	687	791	1-99(100)	97.1	0.00012	100	11.6	3547	93.2	1.1e-06	45.2	1.8	1-3547	1-99	1178	95.6	1.5e-07	44.7	1.8	299-1476	1-99	2	95.75849267937039
YP_009337218.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei odonate virus 6	PF00910.21	RNA_helicase, RNA helicase	0	3	386	685	389	499	1-100(100)	96.4	0.002	1	1991	389	499	1-100(100)	91.8	0.08	289	599	389	499	1-100(100)	96.3	0.0024	100	11.6	1991	91.8	4.8e-06	38.9	3.6	1-1991	1-100	300	96.4	1.2e-07	38.2	3.6	386-685	1-100	3	96.51724874315552
YP_009337284.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 28	PF00910.21	RNA_helicase, RNA helicase	0	2	1162	2188	1507	1613	1-99(100)	96.4	0.00084	1	2975	1507	1613	1-99(100)	94.6	0.0079	1407	1713	1507	1613	1-99(100)	97.5	2.7e-05	100	11.6	2975	94.6	4.8e-07	46.5	2.2	1-2975	1-99	1027	96.4	5e-08	46.5	2.2	1162-2188	1-99	2	96.36681786124927
YP_009337289.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei odonate virus 3	PF00910.21	RNA_helicase, RNA helicase	0	2	1059	2210	1571	1631	1-54(100)	96.1	0.003	1	2968	1571	1631	1-54(100)	94.1	0.022	1471	1731	1571	1631	1-54(100)	97.5	5.4e-05	100	11.6	2968	94.1	1.3e-06	43.9	3.8	1-2968	1-54	1152	96.1	1.8e-07	44.1	3.8	1059-2210	1-54	2	95.98564414536935
YP_009337306.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 32	PF00910.21	RNA_helicase, RNA helicase	0	3	864	1163	927	1035	1-99(100)	96.9	0.00061	1	2533	927	1035	1-99(100)	91.7	0.094	827	1135	927	1035	1-99(100)	96.8	0.00081	100	11.6	2533	91.7	5.6e-06	39.5	4.1	1-2533	1-99	300	96.9	3.6e-08	40.6	4.1	864-1163	1-99	3	96.73805548851858
YP_009337332.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 18	PF00910.21	RNA_helicase, RNA helicase	0	3	451	750	546	671	1-99(100)	96.7	0.00021	1	1942	546	671	1-99(100)	92.7	0.015	446	771	546	671	1-99(100)	96.6	3e-04	100	11.6	1942	92.7	8.8e-07	42.9	0.5	1-1942	1-99	300	96.7	1.3e-08	42.6	0.5	451-750	1-99	4	96.70038626411548
YP_009337653.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia water strider virus 21	PF00910.21	RNA_helicase, RNA helicase	0	2	1256	2214	1605	1712	1-99(100)	96.2	0.0046	1	3023	1605	1712	1-99(100)	92.6	0.09	1505	1812	1605	1712	1-99(100)	97	0.00092	100	11.6	3023	92.6	5.4e-06	40.4	5.1	1-3023	1-99	959	96.2	2.7e-07	42.3	5.1	1256-2214	1-99	2	95.63579870441458
YP_009337679.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia picorna-like virus 2	PF00910.21	RNA_helicase, RNA helicase	0	3	451	847	501	617	3-99(100)	95.7	0.0054	1	1803	501	617	3-99(100)	91	0.098	401	717	501	617	3-99(100)	96	0.0035	100	11.6	1803	91.0	5.9e-06	38.0	3.4	1-1803	3-99	397	95.7	3.2e-07	37.6	3.4	451-847	3-99	4	95.82365500375451
YP_009337710.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 7	PF00910.21	RNA_helicase, RNA helicase	0	2	1	1029	620	729	3-100(100)	95.4	0.035	1	3092	620	729	3-100(100)	92.5	0.21	520	829	620	729	3-100(100)	96.8	0.0035	100	11.6	3092	92.5	1.3e-05	38.3	7.1	1-3092	3-100	1029	95.4	2.1e-06	38.0	7.1	1-1029	3-100	2	95.47843097442494
YP_009337739.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei odonate virus 7	PF00910.21	RNA_helicase, RNA helicase	0	2	1	2032	833	948	1-99(100)	95.5	0.01	1	2556	833	948	1-99(100)	95	0.017	733	1048	833	948	1-99(100)	97.3	0.00025	100	11.6	2556	95.0	1e-06	43.9	5.0	1-2556	1-99	2032	95.5	6.2e-07	44.0	5.0	1-2032	1-99	2	95.44280443962273
YP_009337788.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 68	PF00910.21	RNA_helicase, RNA helicase	0	2	1	944	638	734	3-99(100)	96.4	6.9e-05	1	3291	638	734	3-99(100)	93.5	0.0019	538	834	638	734	3-99(100)	97.3	2.7e-06	100	11.6	3291	93.5	1.1e-07	50.7	-3.6	1-3291	3-99	944	96.4	4.1e-09	51.7	-3.6	1-944	3-99	2	96.1103818252588
YP_009342254.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan arthropod virus 3	PF00910.21	RNA_helicase, RNA helicase	0	2	1	1027	797	898	1-100(100)	95.8	0.0028	1	2243	797	898	1-100(100)	93.9	0.017	697	998	797	898	1-100(100)	97.3	9e-05	100	11.6	2243	93.9	1e-06	43.3	2.7	1-2243	1-100	1027	95.8	1.7e-07	43.8	2.7	1-1027	1-100	2	95.67841990615987
YP_009342326.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	PF00910.21	RNA_helicase, RNA helicase	0	2	583	1309	1067	1169	1-99(100)	95.6	0.0011	1	3930	1067	1169	1-99(100)	89.2	0.041	967	1269	1067	1169	1-99(100)	96.7	0.00016	100	11.6	3930	89.2	2.4e-06	43.6	-0.0	1-3930	1-99	727	95.6	6.6e-08	44.1	-0.0	583-1309	1-99	3	94.4797086252424
YP_009342326.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	PF00910.21	RNA_helicase, RNA helicase	0	2	583	1979	1346	1426	1-100(100)	96.4	0.0014	1	3930	1346	1426	1-100(100)	94.9	0.01	1246	1526	1346	1426	1-100(100)	97.6	2.7e-05	100	11.6	3930	94.9	6.2e-07	47.2	3.5	1-3930	1-100	1397	96.4	8.2e-08	47.0	3.5	583-1979	1-100	2	96.41866836933087
NP_619734.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Sequivirus, Parsnip yellow fleck virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	805	1458	834	1012	86-224(298)	96.7	0.0035	1	3027	797	1012	49-224(298)	94.8	0.069	734	1112	797	1012	49-224(298)	97.2	0.0015	298	6.9	3027	94.8	4.1e-06	55.9	10.6	1-3027	49-224	654	96.7	2.1e-07	57.0	9.4	805-1458	86-224	2	96.7328789244097
YP_001040018.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Tomato torrado virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	921	1198	977	1173	65-232(298)	96.7	0.0078	1	1198	977	1173	65-232(298)	94.8	0.096	877	1198	977	1173	65-232(298)	96.6	0.0093	298	6.9	1198	94.8	5.8e-06	50.3	10.8	1-1198	65-232	278	96.7	4.7e-07	49.5	10.8	921-1198	65-232	2	96.83628825924525
YP_001976149.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Tomato marchitez virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	911	1191	990	1166	85-232(298)	95.8	0.024	1	1191	990	1163	85-229(298)	92.9	0.19	890	1191	990	1166	85-232(298)	95.8	0.026	298	6.9	1191	92.9	1.2e-05	48.1	9.0	1-1191	85-229	281	95.8	1.4e-06	46.6	9.0	911-1191	85-232	2	96.18074241605896
YP_009316179.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, unassigned Secoviridae, Dioscorea mosaic associated virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	736	1035	753	924	71-221(298)	96.7	0.0038	1	1196	753	924	71-221(298)	94.6	0.061	653	1024	753	924	71-221(298)	96.5	0.0056	298	6.9	1196	94.6	3.6e-06	51.7	8.8	1-1196	71-221	300	96.7	2.2e-07	51.9	8.8	736-1035	71-221	3	96.67810002442874
YP_009389538.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Squash chlorotic leaf spot virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	774	1054	834	1033	65-237(298)	95.8	0.0078	1	1054	834	1033	65-237(298)	93.6	0.051	734	1054	834	1033	65-237(298)	95.7	0.009	298	6.9	1054	93.6	3e-06	51.6	5.9	1-1054	65-237	281	95.8	4.7e-07	49.6	5.9	774-1054	65-237	2	96.25918933930734
YP_009140560.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Kilifi Virus	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	1807	2776	2080	2240	62-211(298)	96.3	0.002	1	2776	2080	2179	62-154(298)	93.3	0.064	1980	2340	2080	2179	62-154(298)	96.8	0.0013	298	6.9	2776	93.3	3.8e-06	55.7	6.6	1-2776	62-154	970	96.3	1.2e-07	61.1	4.9	1807-2776	62-211	2	95.50324323839148
YP_009315907.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Riptortus pedestris virus-1	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2568	2867	2633	2798	58-212(298)	96.1	0.076	1	3456	2571	2798	2-212(298)	88.9	5.3	2533	2898	2633	2798	58-212(298)	95.8	0.12	298	6.9	3456	88.9	0.00032	41.8	16.2	1-3456	2-212	300	96.1	4.6e-06	43.8	13.4	2568-2867	58-212	4	96.26671032211813
YP_009330043.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei myriapoda virus 4	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	751	1061	808	949	99-221(298)	95.4	0.044	1	1061	808	949	99-221(298)	93.6	0.14	708	1049	808	949	99-221(298)	95.2	0.055	298	6.9	1061	93.6	8.5e-06	48.5	9.2	1-1061	99-221	311	95.4	2.6e-06	45.5	9.2	751-1061	99-221	3	96.15910899130222
YP_009336535.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 4	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	1947	2948	2203	2431	24-256(298)	95.8	0.018	1	2948	2203	2432	24-257(298)	93.8	0.11	2103	2531	2203	2431	24-256(298)	96.7	0.0039	298	6.9	2948	93.8	6.4e-06	54.3	9.5	1-2948	24-257	1002	95.8	1.1e-06	54.5	9.5	1947-2948	24-256	2	95.80962849964246
YP_009336787.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 46	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2517	2816	2571	2736	72-225(298)	96	0.08	1	3290	2571	2735	72-224(298)	89.7	1.6	2471	2836	2571	2736	72-225(298)	95.9	0.079	298	6.9	3290	89.7	9.7e-05	45.6	12.9	1-3290	72-224	300	96.0	4.8e-06	43.7	12.9	2517-2816	72-225	3	96.35849149331554
YP_009337038.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 63	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2056	2355	2157	2303	74-211(298)	95.6	0.0098	1	2845	2073	2303	2-211(298)	89.6	0.42	2057	2403	2157	2303	74-211(298)	95.4	0.012	298	6.9	2845	89.6	2.5e-05	49.6	8.1	1-2845	2-211	300	95.6	5.9e-07	49.4	5.6	2056-2355	74-211	3	96.20896343825453
YP_009337062.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 61	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	1814	2741	2059	2205	74-211(298)	96.1	0.01	1	2741	2059	2205	74-211(298)	93.6	0.093	1959	2305	2059	2205	74-211(298)	96.9	0.002	298	6.9	2741	93.6	5.5e-06	54.4	8.6	1-2741	74-211	928	96.1	6e-07	55.9	8.6	1814-2741	74-211	2	95.73988568492804
YP_009337100.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 59	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	1912	2904	2140	2349	15-211(298)	96.1	0.011	1	2904	2140	2349	15-211(298)	94.7	0.05	2040	2449	2185	2352	54-214(298)	96.7	0.0034	298	6.9	2904	94.7	3e-06	56.7	9.3	1-2904	15-211	993	96.1	6.7e-07	55.9	9.2	1912-2904	15-211	2	96.24368942577179
YP_009337118.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 52	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2848	3147	2876	3095	22-236(298)	95.4	0.46	1	3778	2876	3095	22-236(298)	87.3	5.5	2776	3195	2876	3095	22-236(298)	94.8	0.67	298	6.9	3778	87.3	0.00033	42.0	15.2	1-3778	22-236	300	95.4	2.7e-05	39.0	15.2	2848-3147	22-236	4	96.10789351852262
YP_009337160.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 62	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2108	2407	2216	2362	74-211(298)	95.7	0.0079	1	2904	2132	2362	2-211(298)	89.8	0.44	2116	2462	2216	2362	74-211(298)	95.5	0.011	298	6.9	2904	89.8	2.7e-05	49.5	8.5	1-2904	2-211	300	95.7	4.7e-07	49.9	5.7	2108-2407	74-211	4	96.26671032211813
YP_009337269.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 55	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	2176	2585	2394	2536	74-201(298)	96.2	0.013	1	2585	2394	2536	74-201(298)	92.9	0.17	2294	2585	2394	2536	74-201(298)	96.5	0.0069	298	6.9	2585	92.9	1e-05	52.2	9.2	1-2585	74-201	410	96.2	7.9e-07	50.4	9.2	2176-2585	74-201	2	96.4755172229352
YP_009342325.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 3	PF00915.19	Calici_coat, Calicivirus coat protein	0	2	2672	3700	2849	3034	50-224(298)	96.5	0.00082	1	3700	2849	3034	50-224(298)	94.7	0.009	2749	3134	2849	3034	50-224(298)	97.1	0.00017	298	6.9	3700	94.7	5.4e-07	63.8	3.7	1-3700	50-224	1029	96.5	4.9e-08	64.1	3.7	2672-3700	50-224	2	96.44394516930255
YP_009345893.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan insect virus 12	PF00915.19	Calici_coat, Calicivirus coat protein	0	3	2519	2818	2568	2793	2-237(298)	96.3	0.15	1	3531	2568	2793	2-237(298)	91.2	2.5	2468	2893	2568	2793	2-237(298)	95.8	0.28	298	6.9	3531	91.2	0.00015	44.4	16.1	1-3531	2-237	300	96.3	9.2e-06	42.0	16.1	2519-2818	2-237	3	96.67810002442874
YP_009028573.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Soybean cyst nematode virus 5	PF00949.20	Peptidase_S7, Peptidase S7, Flavivirus NS3 serine protease	0	2	1406	2979	2779	2931	26-119(133)	95.2	0.01	1	5905	2779	2931	26-119(133)	91	0.11	2679	3031	2779	2931	26-119(133)	96.7	0.0012	133	7.4	5905	91.0	6.8e-06	51.2	5.0	1-5905	26-119	1574	95.2	6.2e-07	52.2	5.0	1406-2979	26-119	2	94.92407975244893
YP_009179224.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Gamboa mosquito virus	PF00949.20	Peptidase_S7, Peptidase S7, Flavivirus NS3 serine protease	0	2	2986	4561	4361	4504	25-119(133)	95.1	0.00058	1	8572	4361	4504	25-119(133)	91.8	0.012	4261	4604	4361	4504	25-119(133)	96.4	2.3e-05	133	7.4	8572	91.8	7.3e-07	60.2	0.0	1-8572	25-119	1576	95.1	3.5e-08	60.4	0.0	2986-4561	25-119	2	95.00575583980738
YP_009179225.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Shayang fly virus 4	PF00949.20	Peptidase_S7, Peptidase S7, Flavivirus NS3 serine protease	0	2	1315	2292	2131	2269	25-122(133)	96.6	0.0022	1	5175	2131	2269	25-122(133)	94.6	0.028	2031	2369	2131	2269	25-122(133)	97.5	0.00016	133	7.4	5175	94.6	1.7e-06	55.1	6.7	1-5175	25-122	978	96.6	1.3e-07	54.0	6.7	1315-2292	25-122	2	96.76891247896664
YP_009126871.1	ssRNA positive-strand viruses	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Modoc virus group, Jutiapa virus	PF01003.18	Flavi_capsid, Flavivirus capsid protein C	0	2	1	96	30	90	37-95(114)	95.5	0.015	1	3374	30	90	37-95(114)	68.9	3.2	1	190	30	90	37-95(114)	94.3	0.04	114	4.1	3374	68.9	0.00019	40.1	5.3	1-3374	37-95	96	95.5	9.2e-07	38.7	5.3	1-96	37-95	2	95.92966208841092
YP_009179227.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Wenling shark virus	PF01006.19	HCV_NS4a, Hepatitis C virus non-structural protein NS4a	0	2	1486	1729	1633	1684	4-51(51)	95.8	0.0039	1	3086	1633	1684	4-51(51)	86.8	0.24	1533	1784	1633	1684	4-51(51)	95.8	0.0039	51	4.8	3086	86.8	1.5e-05	42.1	3.3	1-3086	4-51	244	95.8	2.3e-07	41.0	3.3	1486-1729	4-51	2	96.1368671503145
YP_009315868.1	ssRNA positive-strand viruses	Picornavirales	Dicistroviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Dicistroviridae, unclassified Dicistroviridae, Centovirus AC	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	2	1	1130	635	778	118-248(284)	95.7	0.0059	1	1965	635	778	118-248(284)	94.5	0.019	535	878	635	778	118-248(284)	97	0.00038	284	10.7	1965	94.5	1.1e-06	51.9	4.8	1-1965	118-248	1130	95.7	3.5e-07	52.1	4.8	1-1130	118-248	2	95.63190679850841
YP_009010972.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Posavirus 2	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	3	370	669	462	590	117-236(284)	96.6	0.0039	1	3347	462	590	117-236(284)	90.4	0.27	362	690	462	590	117-236(284)	96.5	0.0049	284	10.7	3347	90.4	1.6e-05	46.5	6.8	1-3347	117-236	300	96.6	2.3e-07	45.4	7.2	370-669	117-236	4	96.71714667959706
YP_009336540.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 15	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	3	451	750	561	705	118-247(284)	96.2	0.0034	1	2070	560	705	117-247(284)	89.8	0.16	461	805	561	705	118-247(284)	95.9	0.0049	284	10.7	2070	89.8	9.8e-06	45.8	4.5	1-2070	117-247	300	96.2	2e-07	45.7	4.6	451-750	118-247	4	96.14674561057161
YP_009336733.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou shrimp virus 8	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	3	451	899	582	732	103-244(284)	95.6	0.02	1	3293	582	732	103-244(284)	87.4	0.61	482	832	582	732	103-244(284)	96	0.011	284	10.7	3293	87.4	3.7e-05	43.9	7.0	1-3293	103-244	449	95.6	1.2e-06	43.7	7.0	451-899	103-244	5	95.62845953323661
YP_009336820.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 53	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	3	451	750	568	737	120-268(284)	97.1	0.00024	1	4206	568	737	120-268(284)	92.9	0.035	468	837	568	737	120-268(284)	97	0.00028	284	10.7	4206	92.9	2.1e-06	54.0	3.7	1-4206	120-268	300	97.1	1.4e-08	52.0	3.7	451-750	120-268	4	97.27595495827048
YP_009337152.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 34	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	2	1022	2069	1373	1531	115-260(284)	95.4	0.02	1	2876	1373	1531	115-260(284)	91.8	0.22	1273	1631	1373	1531	115-260(284)	97	0.0012	284	10.7	2876	91.8	1.3e-05	46.4	7.7	1-2876	115-260	1048	95.4	1.2e-06	48.3	7.2	1022-2069	115-260	2	94.97185686853493
