This Pfam domain was detected only during IHH-specific iterations? 0 = No, 1 = Yes	Pfam AC	Pfam ID, description	Protein AC	Protein length	Start hit coordinate on protein, aa	End hit coordinate on protein, aa	P_IHH	P_protein	P_domain	Virus genome	The most senior rank to which virus is classified	The 2nd most senior rank to which virus is classified	Virus taxonomy	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_803214.1	4555	3475	3605	97.2	94.5	97.3	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	165	11.5	4555	94.5	1e-05	44.1	11.0	1-4555	23-162	383	97.2	2.4e-07	41.5	10.8	3344-3726	23-162	2	97.4868202947554
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_009408168.1	7861	4615	4735	97	93.2	97.2	plus_ssRNA	Nidovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, unclassified Nidovirales, Morelia viridis nidovirus	165	11.5	7861	93.2	4e-06	49.3	6.1	1-7861	25-162	375	97.0	5.1e-08	44.8	6.1	4491-4865	26-162	2	97.52880686248098
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_009408169.1	5555	4615	4735	97	94.7	97.1	plus_ssRNA	Nidovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, unclassified Nidovirales, Morelia viridis nidovirus	165	11.5	5555	94.7	1.4e-06	50.8	5.9	1-5555	25-162	375	97.0	5.1e-08	44.8	5.9	4491-4865	26-162	2	97.64383948933
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_009333575.1	3089	1396	1461	96.4	94.7	97.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 1	165	11.5	3089	94.7	1.4e-06	47.9	5.5	1-3089	9-78	845	96.4	1.8e-07	46.5	5.5	905-1749	9-78	2	96.63257511899577
0	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	YP_009344970.1	7421	4229	4281	96.1	87.5	96.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Xinzhou toro-like virus	165	11.5	7421	87.5	3.4e-05	42.6	6.7	1-7421	6-57	361	96.1	6.3e-07	39.1	6.7	4120-4480	7-57	2	96.83203704609829
0	PF00653.20	BIR, Inhibitor of Apoptosis domain	YP_009333565.1	1199	1114	1164	98	96.7	97.8	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 115	66	9.0	1199	96.7	1.4e-08	52.2	1.1	1-1199	18-65	126	98.0	3.7e-11	50.4	1.1	1074-1199	17-65	2	98.17109635717343
0	PF00680.19	RdRP_1, RNA dependent RNA polymerase	YP_009011065.1	3705	2651	2752	95.6	84.3	95.6	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Fusarium graminearum hypovirus 1	466	10.1	3705	84.3	1e-05	52.7	1.4	1-3705	282-391	300	95.6	1.2e-07	51.6	1.4	2606-2905	283-391	4	95.91873851612682
0	PF00680.19	RdRP_1, RNA dependent RNA polymerase	YP_009130646.1	3944	2337	2476	95.7	89.6	96.4	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Fusarium graminearum hypovirus 2	466	10.1	3944	89.6	3.7e-05	48.6	9.6	1-3944	94-249	300	95.7	1.2e-06	45.4	7.9	2179-2478	94-240	3	96.6927071106071
0	PF00680.19	RdRP_1, RNA dependent RNA polymerase	YP_009448196.1	3971	2378	2521	96.2	94	94.9	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Rosellinia necatrix hypovirus 1	466	10.1	3971	94.0	1.5e-05	51.8	12.9	1-3971	96-245	884	96.2	2.1e-06	50.2	12.9	2218-3101	96-246	2	96.48595827720892
0	PF00680.19	RdRP_1, RNA dependent RNA polymerase	YP_009330037.1	3951	2344	2483	95.7	90.3	96.4	dsRNA viruses	Hypoviridae	unclassified	Viruses, dsRNA viruses, Hypoviridae, unclassified Hypoviridae, Fusarium langsethiae hypovirus 1	466	10.1	3951	90.3	3e-05	49.4	9.5	1-3951	94-249	300	95.7	1.2e-06	45.6	7.8	2186-2485	94-240	3	96.79228028341652
0	PF00680.19	RdRP_1, RNA dependent RNA polymerase	YP_009342322.1	4134	3030	3171	95.9	89.2	95.7	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan insect virus 19	466	10.1	4134	89.2	1.8e-06	59.2	-1.2	1-4134	91-432	300	95.9	4.4e-08	54.1	-0.1	2878-3177	91-245	3	96.66290030409051
0	PF00863.18	Peptidase_C4, Peptidase family C4	YP_009333483.1	1859	1128	1190	96.2	93.6	92.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 58	223	10.9	1859	93.6	1.6e-05	42.0	10.1	1-1859	137-192	432	96.2	1.9e-06	40.5	10.1	914-1345	137-192	2	96.48689647348766
0	PF00910.21	RNA_helicase, RNA helicase	YP_009221981.1	1826	534	645	96	94.9	97.2	plus_ssRNA	Picornavirales	Dicistroviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Dicistroviridae, unclassified Dicistroviridae, Goose dicistrovirus	100	11.6	1826	94.9	1.1e-06	42.1	4.7	1-1826	1-99	1025	96.0	2.9e-07	42.5	4.7	1-1025	1-99	2	95.91529460504586
0	PF00910.21	RNA_helicase, RNA helicase	YP_003622540.1	2964	1479	1582	96.3	94.4	97.6	plus_ssRNA	Picornavirales	Iflaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Iflaviridae, Iflavirus, Slow bee paralysis virus	100	11.6	2964	94.4	7.9e-07	45.2	3.0	1-2964	1-96	1076	96.3	7.7e-08	45.8	3.0	1130-2205	1-96	2	96.20013217938956
0	PF00910.21	RNA_helicase, RNA helicase	YP_009448183.1	2752	1466	1527	96.2	85.2	96.4	plus_ssRNA	Picornavirales	Iflaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Iflaviridae, Iflavirus, unclassified Iflavirus, Armigeres iflavirus	100	11.6	2752	85.2	2.9e-05	35.8	4.1	1-2752	1-56	300	96.2	2e-07	37.2	4.1	1438-1737	1-57	3	95.81827424248726
0	PF00910.21	RNA_helicase, RNA helicase	YP_009220374.1	2124	747	849	96.8	94.6	97.3	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Cheravirus, unclassified Cheravirus, Currant latent virus	100	11.6	2124	94.6	4.3e-07	45.1	1.9	1-2124	4-100	568	96.8	1.5e-08	45.9	1.9	518-1085	4-100	2	96.68933917499777
0	PF00910.21	RNA_helicase, RNA helicase	YP_009010971.1	2952	533	651	96.1	93.8	97.2	plus_ssRNA	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Posavirus 1	100	11.6	2952	93.8	7.4e-07	45.4	1.8	1-2952	2-99	1123	96.1	7.3e-08	46.1	1.8	337-1459	2-99	2	95.8890120995258
0	PF00910.21	RNA_helicase, RNA helicase	YP_009047190.1	2043	353	463	96.1	89.7	95.9	plus_ssRNA	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Drosophila immigrans Nora virus	100	11.6	2043	89.7	5.7e-06	38.6	2.4	1-2043	2-100	300	96.1	1.1e-07	38.3	2.4	242-541	2-100	4	96.15104117053852
0	PF00910.21	RNA_helicase, RNA helicase	YP_009330050.1	3029	1556	1657	96.6	94.6	97.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei myriapoda virus 1	100	11.6	3029	94.6	1.2e-06	44.3	4.6	1-3029	4-100	894	96.6	9.5e-08	44.3	4.6	1350-2243	4-100	2	96.56107196676652
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333281.1	1731	394	504	96	94.9	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai octopus virus 1	100	11.6	1731	94.9	2.1e-06	40.3	6.2	1-1731	1-100	971	96.0	6.2e-07	40.5	6.2	1-971	1-100	2	95.9135532795241
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333388.1	1587	325	387	96.5	94.3	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 64	100	11.6	1587	94.3	2.9e-06	39.2	5.7	1-1587	2-57	587	96.5	2.2e-07	40.3	5.7	1-587	2-57	2	96.21211559511103
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333403.1	1914	401	466	96.1	94.8	97.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 2	100	11.6	1914	94.8	1.2e-06	42.2	4.8	1-1914	2-61	949	96.1	2.5e-07	42.4	4.8	1-949	2-61	2	96.07823015915858
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333430.1	1831	525	633	96.1	91.6	96.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 30	100	11.6	1831	91.6	4.9e-06	38.5	3.5	1-1831	2-99	300	96.1	1.7e-07	37.5	3.5	451-750	2-99	4	96.40459776943558
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333445.1	2956	575	638	96.9	94.9	97.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 52	100	11.6	2956	94.9	1.7e-06	43.3	6.0	1-2956	1-58	658	96.9	8.2e-08	43.0	6.0	206-863	1-58	2	96.92319711024608
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333494.1	2535	752	816	96.7	92.3	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai shrimp virus 1	100	11.6	2535	92.3	2.3e-06	41.8	2.5	1-2535	4-56	300	96.7	2.9e-08	41.0	2.5	601-900	4-56	3	96.86233445124006
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333564.1	1942	458	580	95.2	92.9	96.6	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 115	100	11.6	1942	92.9	9e-07	42.9	0.9	1-1942	1-99	844	95.2	1.6e-07	42.8	0.9	1-844	1-99	2	95.27281007102582
0	PF00910.21	RNA_helicase, RNA helicase	YP_009333588.1	1985	460	582	96.6	91.3	96.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 114	100	11.6	1985	91.3	6.8e-06	38.0	4.1	1-1985	2-17	300	96.6	8.7e-08	38.8	4.1	301-600	2-100	3	96.42781653454273
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336506.1	2234	574	631	96.9	92.3	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei orthoptera virus 3	100	11.6	2234	92.3	7.5e-06	38.3	5.3	1-2234	3-58	248	96.9	8.6e-08	37.9	5.3	491-738	3-58	2	96.93119514812537
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336535.1	2948	647	701	95.2	91.8	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 4	100	11.6	2948	91.8	2.7e-06	42.1	2.3	1-2948	3-56	929	95.2	3.1e-07	41.8	2.3	562-1490	3-56	2	95.31124090223999
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336542.1	3105	1722	1782	95.9	93.2	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tick virus 2	100	11.6	3105	93.2	3.1e-06	41.9	4.4	1-3105	3-58	989	95.9	3e-07	42.2	4.4	1333-2321	3-58	2	95.8290719512849
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336571.1	1820	529	640	96.1	95	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei diptera virus 1	100	11.6	1820	95.0	1e-06	42.3	4.9	1-1820	1-99	1019	96.1	2.9e-07	42.5	4.9	1-1019	1-99	2	96.02990561158971
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336733.1	3293	901	954	96.9	92.6	96.6	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou shrimp virus 8	100	11.6	3293	92.6	1.4e-06	44.3	1.6	1-3293	2-57	300	96.9	1.1e-08	43.0	1.7	751-1050	2-57	4	97.10945329971055
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336775.1	1898	558	667	96.9	94.8	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe picorna-like virus 6	100	11.6	1898	94.8	1.5e-06	41.6	5.3	1-1898	3-99	419	96.9	5.7e-08	41.5	5.3	427-845	3-99	2	96.96449901111781
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336801.1	2513	423	532	96.6	94.7	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou channeled applesnail virus 3	100	11.6	2513	94.7	1.4e-06	43.1	4.9	1-2513	2-96	802	96.6	1.1e-07	43.5	4.9	1-802	2-96	2	96.50774685989433
0	PF00910.21	RNA_helicase, RNA helicase	YP_009336855.1	1959	615	740	96.3	95	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 11	100	11.6	1959	95.0	2.6e-06	40.4	7.2	1-1959	2-99	904	96.3	5.5e-07	40.4	7.2	1-904	2-99	2	96.28391462215892
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337160.1	2904	520	596	97	95	97.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 62	100	11.6	2904	95.0	2.6e-07	48.0	1.5	1-2904	3-100	615	97.0	7.5e-09	47.9	1.5	427-1041	3-100	2	97.00990915918325
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337178.1	3547	688	749	95.6	93.2	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei coleoptera virus 2	100	11.6	3547	93.2	1.1e-06	45.2	1.8	1-3547	2-58	1182	95.6	1.5e-07	44.7	1.8	299-1480	2-58	2	95.7531172870059
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337218.1	1991	389	499	96.4	91.8	96.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei odonate virus 6	100	11.6	1991	91.8	4.8e-06	38.9	3.6	1-1991	1-100	300	96.4	1.2e-07	38.2	3.6	386-685	1-100	3	96.51724874315552
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337284.1	2975	1508	1613	96.4	94.6	97.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 28	100	11.6	2975	94.6	4.8e-07	46.5	2.2	1-2975	2-99	1028	96.4	5e-08	46.5	2.2	1164-2191	2-99	2	96.36567525052575
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337289.1	2968	1572	1635	96	94.1	97.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei odonate virus 3	100	11.6	2968	94.1	1.3e-06	43.9	3.8	1-2968	2-58	1156	96.0	1.9e-07	44.1	3.8	1055-2210	2-58	2	95.9807101509838
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337306.1	2533	928	1030	96.9	91.7	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 32	100	11.6	2533	91.7	5.6e-06	39.5	4.1	1-2533	2-81	300	96.9	3.6e-08	40.6	4.1	866-1165	2-94	3	96.73805548851858
0	PF00910.21	RNA_helicase, RNA helicase	YP_009337653.1	3023	1606	1712	96.1	92.6	97	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia water strider virus 21	100	11.6	3023	92.6	5.4e-06	40.4	5.1	1-3023	2-99	981	96.1	2.9e-07	42.3	5.1	1256-2236	2-99	2	95.59677796468635
0	PF00910.21	RNA_helicase, RNA helicase	YP_009342254.1	2243	797	897	95.8	93.9	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan arthropod virus 3	100	11.6	2243	93.9	1e-06	43.3	2.7	1-2243	1-99	1025	95.8	1.7e-07	43.7	2.7	1-1025	1-99	2	95.68166171578889
0	PF00910.21	RNA_helicase, RNA helicase	YP_009342326.1	3930	1067	1143	95.6	89.2	96.8	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	100	11.6	3930	89.2	2.4e-06	43.6	-0.0	1-3930	1-73	730	95.6	6.6e-08	44.1	-0.0	583-1312	1-73	3	94.47210119403572
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_001040018.1	1198	1029	1171	96.7	94.8	96.8	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Tomato torrado virus	298	6.9	1198	94.8	5.8e-06	50.3	10.8	1-1198	104-230	278	96.7	4.7e-07	49.5	10.8	921-1198	104-230	2	96.83628825924525
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_001976149.1	1191	990	1163	95.8	92.9	95.8	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Tomato marchitez virus	298	6.9	1191	92.9	1.2e-05	48.1	9.0	1-1191	85-229	281	95.8	1.4e-06	46.6	9.0	911-1191	85-229	2	96.18074241605896
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009316179.1	1196	752	926	96.7	94.6	96.5	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, unassigned Secoviridae, Dioscorea mosaic associated virus	298	6.9	1196	94.6	3.6e-06	51.7	8.8	1-1196	71-223	300	96.7	2.2e-07	51.9	8.8	736-1035	70-223	3	96.67810002442874
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009389538.1	1054	834	1028	95.8	93.6	95.7	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Squash chlorotic leaf spot virus	298	6.9	1054	93.6	3e-06	51.6	5.9	1-1054	65-232	281	95.8	4.7e-07	49.6	5.9	774-1054	65-232	2	96.25918933930734
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009389545.1	1195	1015	1161	96	93.4	96	plus_ssRNA	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Torradovirus, Motherwort yellow mottle virus	298	6.9	1195	93.4	1.7e-05	46.9	11.1	1-1195	97-228	278	96.0	2.9e-06	44.6	11.5	918-1195	97-228	2	96.36580020536366
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009140560.1	2776	2103	2176	96.2	93.3	97.1	plus_ssRNA	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Kilifi Virus	298	6.9	2776	93.3	3.8e-06	55.7	6.6	1-2776	83-151	990	96.2	1.3e-07	61.0	4.9	1787-2776	83-151	2	95.47041528815919
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009315907.1	3456	2651	2799	96.1	88.9	95.9	plus_ssRNA	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Riptortus pedestris virus-1	298	6.9	3456	88.9	0.00032	41.8	16.2	1-3456	79-213	300	96.1	4.7e-06	43.8	13.4	2569-2868	79-213	4	96.26671032211813
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009330043.1	1061	806	959	95.4	93.6	95.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei myriapoda virus 4	298	6.9	1061	93.6	8.5e-06	48.5	9.2	1-1061	98-231	300	95.4	2.6e-06	45.3	9.2	751-1050	97-231	3	96.20896343825453
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009336535.1	2948	2252	2408	95.8	93.8	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 4	298	6.9	2948	93.8	6.4e-06	54.3	9.5	1-2948	83-227	1000	95.8	1.1e-06	54.5	9.5	1949-2948	83-227	2	95.81239500130086
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009336787.1	3290	2572	2737	96	89.7	95.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou picorna-like virus 46	298	6.9	3290	89.7	9.7e-05	45.6	12.9	1-3290	73-226	300	96.0	4.8e-06	43.7	12.9	2517-2816	73-226	3	96.35849149331554
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337038.1	2845	2159	2293	95.6	89.6	95.4	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 63	298	6.9	2845	89.6	2.5e-05	49.6	8.1	1-2845	76-200	300	95.6	5.9e-07	49.3	5.6	2055-2354	76-200	3	96.20896343825453
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337062.1	2741	2062	2195	96.1	93.6	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 61	298	6.9	2741	93.6	5.5e-06	54.4	8.6	1-2741	77-200	929	96.1	5.9e-07	55.9	8.6	1813-2741	77-200	2	95.7383259434644
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337100.1	2904	2184	2369	96.1	94.7	96.7	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 59	298	6.9	2904	94.7	3e-06	56.7	9.3	1-2904	53-226	995	96.1	6.7e-07	56.0	9.2	1910-2904	53-226	2	96.2414500820437
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337118.1	3778	2921	3082	95.3	87.3	95	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 52	298	6.9	3778	87.3	0.00033	42.0	15.2	1-3778	69-223	300	95.3	3e-05	38.8	15.2	2825-3124	69-223	4	96.10789351852262
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337160.1	2904	2218	2352	95.7	89.8	95.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 62	298	6.9	2904	89.8	2.7e-05	49.5	8.5	1-2904	76-200	300	95.7	5e-07	49.8	5.7	2107-2406	76-200	4	96.26671032211813
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009337269.1	2585	2384	2536	96.2	92.9	96.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 55	298	6.9	2585	92.9	1e-05	52.2	9.2	1-2585	66-201	411	96.2	7.9e-07	50.4	9.2	2175-2585	66-201	2	96.4727853192659
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009342325.1	3700	2870	3036	96.5	94.7	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 3	298	6.9	3700	94.7	5.4e-07	63.8	3.7	1-3700	74-226	1029	96.5	4.9e-08	64.1	3.7	2672-3700	74-226	2	96.44394516930255
0	PF00915.19	Calici_coat, Calicivirus coat protein	YP_009345893.1	3531	2636	2780	96.3	91.2	96.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan insect virus 12	298	6.9	3531	91.2	0.00015	44.4	16.1	1-3531	83-224	300	96.3	9.2e-06	42.0	16.1	2519-2818	83-224	3	96.67810002442874
0	PF00949.20	Peptidase_S7, Peptidase S7, Flavivirus NS3 serine protease	YP_009179224.1	8572	4365	4508	95.1	91.8	96.3	plus_ssRNA	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Gamboa mosquito virus	133	7.4	8572	91.8	7.3e-07	60.2	0.0	1-8572	29-123	1576	95.1	3.5e-08	60.4	0.0	2986-4561	29-123	2	95.00575583980738
0	PF00949.20	Peptidase_S7, Peptidase S7, Flavivirus NS3 serine protease	YP_009179225.1	5175	2134	2269	96.6	94.6	97.4	plus_ssRNA	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Shayang fly virus 4	133	7.4	5175	94.6	1.7e-06	55.1	6.7	1-5175	28-122	999	96.6	1.3e-07	54.1	6.7	1315-2313	28-122	2	96.75062662117274
0	PF01003.18	Flavi_capsid, Flavivirus capsid protein C	YP_009126871.1	3374	28	90	95.5	68.9	94.3	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Modoc virus group, Jutiapa virus	114	4.1	3374	68.9	0.00019	40.1	5.3	1-3374	35-95	96	95.5	9.2e-07	38.7	5.3	1-96	35-95	2	95.92966208841092
0	PF01004.18	Flavi_M, Flavivirus envelope glycoprotein M	YP_009126871.1	3374	222	272	96.6	80.8	95.4	plus_ssRNA	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, Modoc virus group, Jutiapa virus	74	3.4	3374	80.8	3.2e-05	43.2	3.1	1-3374	24-74	82	96.6	5.4e-08	41.7	3.1	193-274	24-74	2	96.86009168345132
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009315868.1	1965	633	753	95.6	94.5	97.1	plus_ssRNA	Picornavirales	Dicistroviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Dicistroviridae, unclassified Dicistroviridae, Centovirus AC	284	10.7	1965	94.5	1.1e-06	51.9	4.8	1-1965	116-218	1144	95.6	3.7e-07	52.0	4.8	1-1144	116-218	2	95.61157467444812
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009010972.1	3347	463	538	96.6	90.4	96.6	plus_ssRNA	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Posavirus 2	284	10.7	3347	90.4	1.6e-05	46.5	6.8	1-3347	118-187	300	96.6	2.3e-07	45.4	7.2	370-669	118-187	4	96.71714667959706
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009333542.1	2013	626	681	95.1	86.1	95.5	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 118	284	10.7	2013	86.1	2.3e-05	43.2	4.5	1-2013	93-141	300	95.1	8.8e-07	42.2	4.5	517-816	93-141	3	95.41767011768665
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009336540.1	2070	560	696	96.2	89.8	96	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 15	284	10.7	2070	89.8	9.8e-06	45.8	4.5	1-2070	117-238	300	96.2	2e-07	45.7	4.6	451-750	117-238	4	96.14674561057161
0	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	YP_009336687.1	3398	1664	1799	95.4	92.8	97.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou bivalvia virus 1	284	10.7	3398	92.8	6.6e-06	49.3	7.0	1-3398	117-244	1441	95.4	1.1e-06	50.3	7.0	1440-2880	117-244	2	95.06968611098854
